# schema_version=1.1;library_version=2026.04;source=Kompakte Referenzwerte fuer Vorplanung (CSV). a_v_cm2=Schubflaeche EC3
name;series;kg_per_m;w_el_cm3;i_cm4;height_mm;width_mm;thickness_mm;a_v_cm2
UPN120;UPN;13.4;65.0;390.0;120.0;55.0;7.0;8.4
UPN140;UPN;16.0;94.0;660.0;140.0;60.0;7.5;10.5
UPN160;UPN;18.8;128.0;1030.0;160.0;65.0;8.0;12.8
UPN180;UPN;22.0;169.0;1530.0;180.0;70.0;8.5;15.3
UPE160;UPE;19.2;140.0;1120.0;160.0;64.0;7.5;12.0
HEA120;HEA;19.9;106.0;636.0;114.0;120.0;8.0;8.6
HEA140;HEA;24.7;145.0;1010.0;133.0;140.0;8.5;11.0
HEA160;HEA;30.4;193.0;1540.0;152.0;160.0;9.0;13.6
HEB160;HEB;42.6;332.0;2660.0;160.0;160.0;13.0;17.6
RHS120x60x4;RHS;11.2;44.0;262.0;120.0;60.0;4.0;9.6
RHS140x80x5;RHS;16.2;83.0;580.0;140.0;80.0;5.0;14.0
SHS120x120x5;SHS;17.9;95.0;570.0;120.0;120.0;5.0;12.0
